GEO,Total,Males,Females
Albania,2.29,2.37,2.21
Austria,17.42,19.03,15.15
Belgium,20.19,20.78,19.58
Bulgaria,3.3,3.55,3.05
Croatia,6.35,6.73,5.96
Cyprus,11.25,11.87,10.63
Czechia,7.12,7.84,6.29
Denmark,29.53,31.97,27.3
Estonia,7.46,8.5,6.64
Euro area - 17 countries (2011-2013),17.11,18.51,15.55
Euro area - 18 countries (2014),17.03,18.44,15.47
Euro area - 19 countries  (2015-2022),16.91,18.32,15.34
European Union - 27 countries (2007-2013),16.15,17.49,14.71
European Union - 27 countries (from 2020),15.43,16.63,14.1
European Union - 28 countries (2013-2020),16.09,17.42,14.65
Finland,20.05,22.04,18.32
France,18.1,19.69,16.4
Germany,19.66,21.7,17.33
Greece,8.74,9.18,8.23
Hungary,5.47,5.88,5.04
Iceland,24.96,26.96,23.25
Ireland,22.88,24.29,21.55
Italy,15.55,15.93,15.07
Latvia,6.28,7,5.63
Lithuania,5.28,5.7,4.9
Luxembourg,25.14,25.28,24.91
Malta,11.9,12.62,10.98
Netherlands,18.34,19.76,16.85
North Macedonia,3.15,3.41,2.87
Norway,29.85,31.9,27.68
Poland,6.28,6.54,5.98
Portugal,7.69,8.06,7.35
Romania,5.12,5.17,5.06
Serbia,3.41,3.58,3.23
Slovakia,6.7,7.42,5.95
Slovenia,9.57,10.01,9.08
Spain,12.16,12.88,11.35
Sweden,20.18,21.5,18.91
Switzerland,36.6,39.97,32.52
Türkiye,3.99,4,3.98
United Kingdom,19.46,21.6,17.32
